Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta
4257813.0,2406250.0,3390625.0,890625.0,250000.0,1710938.0,,-1232204.6,-100035.6,-2292840.4,198366.5,-127752.3,700837.9,,-0.076628232,-0.005905629,-0.159284099,0.186162713,-0.310598015,0.065878512
8843750.0,2757813.0,5617188.0,726563.0,281250.0,3992188.0,,3353732.4,251527.4,-66277.4,34304.5,-96502.3,2982087.9,,0.208561616,0.014848986,-0.004604304,0.032194055,-0.234621389,0.280315206
9429688.0,2398438.0,3656250.0,937500.0,382813.0,2835938.0,,3939670.4,-107847.6,-2027215.4,245241.5,5060.7,1825837.9,,0.244999877,-0.006366813,-0.140831075,0.230153892,0.012303861,0.171628115
6312500.0,781250.0,4898438.0,1015625.0,343750.0,2539063.0,,822482.4,-1725035.6,-785027.4,323366.5,-34002.3,1528962.9,,0.051148463,-0.101837938,-0.054536016,0.303472525,-0.082668137,0.14372197
6101563.0,1906250.0,4312500.0,687500.0,359375.0,2078125.0,,611545.4,-600035.6,-1370965.4,-4758.5,-18377.3,1068024.9,,0.038030731,-0.035423262,-0.095241251,-0.004465731,-0.044679824,0.100393961
6882813.0,2343750.0,6812500.0,1226563.0,289063.0,2820313.0,,1392795.4,-162535.6,1129034.6,534304.5,-88689.3,1810212.9,,0.086615038,-0.009595333,0.078434269,0.501433301,-0.215626017,0.17015937
5539063.0,2671875.0,5312500.0,804688.0,242188.0,2914063.0,,49045.4,165589.4,-370965.4,112429.5,-135564.3,1903962.9,,0.003050031,0.009775614,-0.025771043,0.105512687,-0.329590956,0.178971837
4320313.0,1914063.0,4257813.0,585938.0,320313.0,3359375.0,,-1169704.6,-592222.6,-1425652.4,-106320.5,-57439.3,2349274.9,,-0.072741487,-0.03496202,-0.099040368,-0.099779483,-0.139649391,0.220831008
5289063.0,2007813.0,4085938.0,703125.0,351563.0,4101563.0,,-200954.6,-498472.6,-1597527.4,10866.5,-26189.3,3091462.9,,-0.012496947,-0.029427464,-0.11098056,0.010197996,-0.063672765,0.290596417
4140625.0,3765625.0,4742188.0,656250.0,203125.0,3000000.0,,-1349392.6,1259339.4,-941277.4,-36008.5,-174627.3,1989899.9,,-0.083915909,0.074345437,-0.065390736,-0.033793183,-0.424562954,0.187049885
7367188.0,2226563.0,2835938.0,812500.0,234375.0,3242188.0,,1877170.4,-279722.6,-2847527.4,120241.5,-143377.3,2232087.9,,0.116737308,-0.016513499,-0.197818321,0.112844081,-0.348586328,0.209815471
5945313.0,1875000.0,3445313.0,1007813.0,210938.0,3242188.0,,455295.4,-631285.6,-2238152.4,315554.5,-166814.3,2232087.9,,0.02831387,-0.037268115,-0.155484913,0.296141131,-0.405567582,0.209815471
5835938.0,1468750.0,5179688.0,875000.0,367188.0,2367188.0,,345920.4,-1037535.6,-503777.4,182741.5,-10564.3,1357087.9,,0.021512067,-0.061251192,-0.03499752,0.171498987,-0.025684452,0.127565781
10156250.0,2101563.0,6914063.0,906250.0,281250.0,3234375.0,,4666232.4,-404722.6,1230597.6,213991.5,-96502.3,2224274.9,,0.290183251,-0.023892907,0.085489872,0.20082644,-0.234621389,0.209081052
3531250.0,2367188.0,4015625.0,1109375.0,367188.0,3804688.0,,-1958767.6,-139097.6,-1667840.4,417116.5,-10564.3,2794587.9,,-0.121811668,-0.008211665,-0.115865219,0.391454883,-0.025684452,0.262690272
6781250.0,2195313.0,4070313.0,523438.0,343750.0,2585938.0,,1291232.4,-310972.6,-1613152.4,-168820.5,-34002.3,1575837.9,,0.080299047,-0.018358351,-0.112066032,-0.158434389,-0.082668137,0.148128203
7960938.0,2914063.0,6484375.0,882813.0,234375.0,2125000.0,,2470920.4,407777.4,800909.6,190554.5,-143377.3,1114899.9,,0.153661381,0.024073247,0.055639357,0.178831319,-0.348586328,0.104800194
6445313.0,2671875.0,2226563.0,750000.0,296875.0,2031250.0,,955295.4,165589.4,-3456902.4,57741.5,-80877.3,1021149.9,,0.059407826,0.009775614,-0.240151729,0.054189175,-0.196633076,0.095987727
4085938.0,1648438.0,4601563.0,648438.0,312500.0,2976563.0,,-1404079.6,-857847.6,-1081902.4,-43820.5,-65252.3,1966462.9,,-0.087316779,-0.050643263,-0.075159984,-0.041124577,-0.158644763,0.184846815
3867188.0,1718750.0,4234375.0,804688.0,242188.0,2046875.0,,-1622829.6,-787535.6,-1449090.4,112429.5,-135564.3,1036774.9,,-0.100920385,-0.046492375,-0.100668611,0.105512687,-0.329590956,0.097456472
8375000.0,3976563.0,6187500.0,882813.0,281250.0,2046875.0,,2884982.4,1470277.4,504034.6,190554.5,-96502.3,1036774.9,,0.179411032,0.086798218,0.035015389,0.178831319,-0.234621389,0.097456472
5703125.0,2695313.0,4289063.0,750000.0,304688.0,2179688.0,,213107.4,189027.4,-1394402.4,57741.5,-73064.3,1169587.9,,0.013252704,0.011159282,-0.096869424,0.054189175,-0.177637704,0.109940847
4015625.0,1781250.0,3554688.0,1164063.0,289063.0,1835938.0,,-1474392.6,-725035.6,-2128777.4,471804.5,-88689.3,825837.9,,-0.091689398,-0.042802671,-0.147886609,0.442778395,-0.215626017,0.077628468
